0,1,2,3,4,5
R124,MO2,R31,HO2,R449,OH
R124,MO2,R31,HO2,R453,HAC
R124,MO2,R31,HO2,R453,OH
R124,MO2,R31,HO2,R461,OH
R124,MO2,R31,HO2,R468,HAC
R124,MO2,R31,HO2,R468,OH
R124,MO2,R31,HO2,R469,HAC
R124,MO2,R31,HO2,R469,OH
R124,MO2,R31,HO2,R474,OH
R124,MO2,R31,HO2,R476,OH
R124,MO2,R31,HO2,R488,HAC
R124,MO2,R31,HO2,R488,OH
R124,MO2,R31,HO2,R492,OH
R124,MO2,R31,HO2,R497,OH
R124,MO2,R31,HO2,R500,HAC
R124,MO2,R31,HO2,R500,OH
R124,MO2,R31,HO2,R503,HAC
R124,MO2,R31,HO2,R503,OH
R124,MO2,R31,HO2,R507,OH
R124,MO2,R31,HO2,R534,HAC
R124,MO2,R31,HO2,R534,OH
R124,MO2,R31,HO2,R535,OH
R124,MO2,R31,HO2,R543,OH
R124,MO2,R31,HO2,R546,OH
R124,MO2,R31,HO2,R559,OH
R124,MO2,R31,HO2,R562,OH
R124,MO2,R31,HO2,R570,OH
R124,MO2,R31,HO2,R573,HAC
R124,MO2,R31,HO2,R573,OH
R124,MO2,R31,HO2,R574,OH
R124,MO2,R31,HO2,R581,HAC
R124,MO2,R31,HO2,R581,OH
R124,MO2,R31,HO2,R598,OH
R124,MO2,R31,HO2,R619,OH
R124,MO2,R31,HO2,R633,OH
R124,MO2,R85,CH2O,R223,OH
R124,MO2,R85,HO2,R15,OH
R124,MO2,R85,HO2,R22,OH
R124,MO2,R85,HO2,R44,OH
R124,MO2,R85,HO2,R89,OH
R124,MO2,R85,HO2,R90,OH
R124,MO2,R85,HO2,R113,OH
R124,MO2,R85,HO2,R204,OH
R124,MO2,R85,HO2,R216,OH
R124,MO2,R85,HO2,R267,OH
R124,MO2,R85,HO2,R401,OH
R124,MO2,R85,HO2,R403,OH
R124,MO2,R85,HO2,R445,HAC
R124,MO2,R85,HO2,R445,OH
R124,MO2,R85,HO2,R449,OH
R124,MO2,R85,HO2,R453,HAC
R124,MO2,R85,HO2,R453,OH
R124,MO2,R85,HO2,R461,OH
R124,MO2,R85,HO2,R468,HAC
R124,MO2,R85,HO2,R468,OH
R124,MO2,R85,HO2,R469,HAC
R124,MO2,R85,HO2,R469,OH
R124,MO2,R85,HO2,R474,OH
R124,MO2,R85,HO2,R476,OH
R124,MO2,R85,HO2,R488,HAC
R124,MO2,R85,HO2,R488,OH
R124,MO2,R85,HO2,R492,OH
R124,MO2,R85,HO2,R497,OH
R124,MO2,R85,HO2,R500,HAC
R124,MO2,R85,HO2,R500,OH
R124,MO2,R85,HO2,R503,HAC
R124,MO2,R85,HO2,R503,OH
R124,MO2,R85,HO2,R507,OH
R124,MO2,R85,HO2,R534,HAC
R124,MO2,R85,HO2,R534,OH
R124,MO2,R85,HO2,R535,OH
R124,MO2,R85,HO2,R543,OH
R124,MO2,R85,HO2,R546,OH
R124,MO2,R85,HO2,R559,OH
R124,MO2,R85,HO2,R562,OH
R124,MO2,R85,HO2,R570,OH
R124,MO2,R85,HO2,R573,HAC
R124,MO2,R85,HO2,R573,OH
R124,MO2,R85,HO2,R574,OH
R124,MO2,R85,HO2,R581,HAC
R124,MO2,R85,HO2,R581,OH
R124,MO2,R85,HO2,R598,OH
R124,MO2,R85,HO2,R619,OH
R124,MO2,R85,HO2,R633,OH
R124,MO2,R86,CH2O,R223,OH
R124,MO2,R86,HO2,R15,OH
R124,MO2,R86,HO2,R22,OH
R124,MO2,R86,HO2,R44,OH
R124,MO2,R86,HO2,R89,OH
R124,MO2,R86,HO2,R90,OH
R124,MO2,R86,HO2,R113,OH
R124,MO2,R86,HO2,R204,OH
R124,MO2,R86,HO2,R216,OH
R124,MO2,R86,HO2,R267,OH
R124,MO2,R86,HO2,R401,OH
R124,MO2,R86,HO2,R403,OH
R124,MO2,R86,HO2,R445,HAC
R124,MO2,R86,HO2,R445,OH
R124,MO2,R86,HO2,R449,OH
R124,MO2,R86,HO2,R453,HAC
R124,MO2,R86,HO2,R453,OH
R124,MO2,R86,HO2,R461,OH
R124,MO2,R86,HO2,R468,HAC
R124,MO2,R86,HO2,R468,OH
R124,MO2,R86,HO2,R469,HAC
R124,MO2,R86,HO2,R469,OH
R124,MO2,R86,HO2,R474,OH
R124,MO2,R86,HO2,R476,OH
R124,MO2,R86,HO2,R488,HAC
R124,MO2,R86,HO2,R488,OH
R124,MO2,R86,HO2,R492,OH
R124,MO2,R86,HO2,R497,OH
R124,MO2,R86,HO2,R500,HAC
R124,MO2,R86,HO2,R500,OH
R124,MO2,R86,HO2,R503,HAC
R124,MO2,R86,HO2,R503,OH
R124,MO2,R86,HO2,R507,OH
R124,MO2,R86,HO2,R534,HAC
R124,MO2,R86,HO2,R534,OH
R124,MO2,R86,HO2,R535,OH
R124,MO2,R86,HO2,R543,OH
R124,MO2,R86,HO2,R546,OH
R124,MO2,R86,HO2,R559,OH
R124,MO2,R86,HO2,R562,OH
R124,MO2,R86,HO2,R570,OH
R124,MO2,R86,HO2,R573,HAC
R124,MO2,R86,HO2,R573,OH
R124,MO2,R86,HO2,R574,OH
R124,MO2,R86,HO2,R581,HAC
R124,MO2,R86,HO2,R581,OH
R124,MO2,R86,HO2,R598,OH
R124,MO2,R86,HO2,R619,OH
R124,MO2,R86,HO2,R633,OH
R124,MO2,R94,CH2O,R223,OH
R124,MO2,R94,HO2,R15,OH
R124,MO2,R94,HO2,R22,OH
R124,MO2,R94,HO2,R44,OH
R124,MO2,R94,HO2,R89,OH
R124,MO2,R94,HO2,R90,OH
R124,MO2,R94,HO2,R113,OH
R124,MO2,R94,HO2,R204,OH
R124,MO2,R94,HO2,R216,OH
R124,MO2,R94,HO2,R267,OH
R124,MO2,R94,HO2,R401,OH
R124,MO2,R94,HO2,R403,OH
R124,MO2,R94,HO2,R445,HAC
R124,MO2,R94,HO2,R445,OH
R124,MO2,R94,HO2,R449,OH
R124,MO2,R94,HO2,R453,HAC
R124,MO2,R94,HO2,R453,OH
R124,MO2,R94,HO2,R461,OH
R124,MO2,R94,HO2,R468,HAC
R124,MO2,R94,HO2,R468,OH
R124,MO2,R94,HO2,R469,HAC
R124,MO2,R94,HO2,R469,OH
R124,MO2,R94,HO2,R474,OH
R124,MO2,R94,HO2,R476,OH
R124,MO2,R94,HO2,R488,HAC
R124,MO2,R94,HO2,R488,OH
R124,MO2,R94,HO2,R492,OH
R124,MO2,R94,HO2,R497,OH
R124,MO2,R94,HO2,R500,HAC
R124,MO2,R94,HO2,R500,OH
R124,MO2,R94,HO2,R503,HAC
R124,MO2,R94,HO2,R503,OH
R124,MO2,R94,HO2,R507,OH
R124,MO2,R94,HO2,R534,HAC
R124,MO2,R94,HO2,R534,OH
R124,MO2,R94,HO2,R535,OH
R124,MO2,R94,HO2,R543,OH
R124,MO2,R94,HO2,R546,OH
R124,MO2,R94,HO2,R559,OH
R124,MO2,R94,HO2,R562,OH
R124,MO2,R94,HO2,R570,OH
R124,MO2,R94,HO2,R573,HAC
R124,MO2,R94,HO2,R573,OH
R124,MO2,R94,HO2,R574,OH
R124,MO2,R94,HO2,R581,HAC
R124,MO2,R94,HO2,R581,OH
R124,MO2,R94,HO2,R598,OH
R124,MO2,R94,HO2,R619,OH
R124,MO2,R94,HO2,R633,OH
R124,MO2,R95,CH2O,R223,OH
R124,MO2,R95,HO2,R15,OH
R124,MO2,R95,HO2,R22,OH
R124,MO2,R95,HO2,R44,OH
R124,MO2,R95,HO2,R89,OH
R124,MO2,R95,HO2,R90,OH
R124,MO2,R95,HO2,R113,OH
R124,MO2,R95,HO2,R204,OH
R124,MO2,R95,HO2,R216,OH
R124,MO2,R95,HO2,R267,OH
R124,MO2,R95,HO2,R401,OH
R124,MO2,R95,HO2,R403,OH
R124,MO2,R95,HO2,R445,HAC
R124,MO2,R95,HO2,R445,OH
R124,MO2,R95,HO2,R449,OH
R124,MO2,R95,HO2,R453,HAC
R124,MO2,R95,HO2,R453,OH
R124,MO2,R95,HO2,R461,OH
R124,MO2,R95,HO2,R468,HAC
R124,MO2,R95,HO2,R468,OH
R124,MO2,R95,HO2,R469,HAC
R124,MO2,R95,HO2,R469,OH
R124,MO2,R95,HO2,R474,OH
R124,MO2,R95,HO2,R476,OH
R124,MO2,R95,HO2,R488,HAC
R124,MO2,R95,HO2,R488,OH
R124,MO2,R95,HO2,R492,OH
R124,MO2,R95,HO2,R497,OH
R124,MO2,R95,HO2,R500,HAC
